Date/Time,THERMAL ZONE 1:RUN PERIOD 1:ILLUMINANCE MAP 1 at 1.10m Illuminance [lux] (Hourly),RefPt1=(15.00:5.00:1.10),,,
 01/01 08:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,6,7,7,8,9,11,12,14,16,12
(11.00;1.89)=,7,8,8,10,12,15,18,26,40,53
(11.00;2.78)=,8,8,10,12,15,21,29,49,99,355
(11.00;3.67)=,8,10,12,15,20,29,44,82,308,418
(11.00;4.56)=,9,11,13,18,25,39,201,249,332,424
(11.00;5.44)=,10,12,16,21,31,189,212,258,338,425
(11.00;6.33)=,11,14,18,24,175,193,215,259,337,423
(11.00;7.22)=,12,15,159,166,176,193,213,254,328,413
(11.00;8.11)=,13,16,160,166,175,190,207,241,297,348
(11.00;9.00)=,13,16,159,165,172,183,196,215,230,46
 01/01 09:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,41,43,46,50,55,62,70,82,96,74
(11.00;1.89)=,44,46,51,56,65,80,99,138,212,290
(11.00;2.78)=,46,50,56,65,80,106,145,238,476,2013
(11.00;3.67)=,49,55,63,76,98,139,206,375,1744,3819
(11.00;4.56)=,53,60,71,88,119,176,1221,1440,3299,3861
(11.00;5.44)=,56,65,78,100,139,1160,1267,1494,3336,3864
(11.00;6.33)=,59,70,85,111,1103,1177,1284,1503,3332,3856
(11.00;7.22)=,62,74,1039,1066,1108,1179,1279,1481,3284,3802
(11.00;8.11)=,64,76,1041,1066,1104,1167,1253,1420,3137,3467
(11.00;9.00)=,65,76,1039,1061,1093,1142,1205,1310,2840,1713
 01/01 10:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,17,18,20,22,25,30,36,45,57,43
(11.00;1.89)=,18,20,22,25,30,39,51,77,131,200
(11.00;2.78)=,19,21,24,29,36,49,71,122,260,602
(11.00;3.67)=,20,23,27,33,43,61,94,172,389,2761
(11.00;4.56)=,21,24,29,36,49,72,114,213,1146,1555
(11.00;5.44)=,22,26,31,39,54,80,128,236,1169,1557
(11.00;6.33)=,23,27,32,41,57,84,134,239,1167,1551
(11.00;7.22)=,23,27,33,42,57,83,129,226,1133,1510
(11.00;8.11)=,23,27,33,41,55,78,117,193,1045,1282
(11.00;9.00)=,23,27,32,39,51,69,97,146,910,881
 01/01 11:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,34,36,40,44,51,61,73,92,115,89
(11.00;1.89)=,36,39,44,50,61,78,101,150,248,363
(11.00;2.78)=,38,42,48,57,72,98,139,233,478,1087
(11.00;3.67)=,40,45,52,64,84,120,180,325,717,5442
(11.00;4.56)=,41,47,56,71,95,140,217,400,871,1715
(11.00;5.44)=,43,50,60,76,104,155,243,445,934,1724
(11.00;6.33)=,44,51,62,79,109,162,254,458,937,1710
(11.00;7.22)=,45,52,63,81,110,161,249,437,879,1629
(11.00;8.11)=,45,52,63,79,106,152,227,380,725,1237
(11.00;9.00)=,45,51,61,76,99,135,193,295,482,494
 01/01 12:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,22,24,27,31,37,45,56,74,98,73
(11.00;1.89)=,24,26,30,36,45,59,81,126,224,350
(11.00;2.78)=,25,28,33,41,53,74,111,193,414,934
(11.00;3.67)=,26,30,36,46,61,89,139,256,569,1232
(11.00;4.56)=,27,32,39,50,68,101,161,299,652,1292
(11.00;5.44)=,28,33,40,52,72,108,174,320,682,1299
(11.00;6.33)=,29,34,41,53,74,110,175,319,675,1288
(11.00;7.22)=,29,33,41,52,72,105,165,294,617,1209
(11.00;8.11)=,28,33,40,50,67,95,143,242,472,822
(11.00;9.00)=,27,32,37,46,60,81,115,175,282,278
 01/01 13:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,16,18,20,23,27,33,42,57,77,58
(11.00;1.89)=,17,19,22,26,33,43,62,99,186,310
(11.00;2.78)=,18,21,24,30,39,55,85,153,344,796
(11.00;3.67)=,19,22,27,34,45,66,106,199,456,986
(11.00;4.56)=,20,23,28,36,50,74,121,227,506,1017
(11.00;5.44)=,21,24,29,38,52,78,128,238,522,1020
(11.00;6.33)=,21,24,30,38,52,78,127,234,512,1012
(11.00;7.22)=,21,24,29,37,50,73,117,211,459,945
(11.00;8.11)=,20,23,28,35,46,64,98,166,333,593
(11.00;9.00)=,19,22,26,32,40,54,76,114,180,165
 01/01 14:00,(11.00;1.00)=,(11.89;1.00)=,(12.78;1.00)=,(13.67;1.00)=,(14.56;1.00)=,(15.44;1.00)=,(16.33;1.00)=,(17.22;1.00)=,(18.11;1.00)=,(19.00;1.00)=
(11.00;1.00)=,10,11,12,14,17,21,28,39,56,44
(11.00;1.89)=,11,12,14,16,20,27,40,65,129,227
(11.00;2.78)=,11,13,15,18,24,33,53,96,223,519
(11.00;3.67)=,12,13,16,20,27,39,64,121,282,614
(11.00;4.56)=,12,14,17,21,29,43,71,135,306,628
(11.00;5.44)=,12,14,17,22,30,44,74,139,311,629
