Time,AIR LOOP HVAC 1:DesPer 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:DesPer 1:Des Heat Cap [W],AIR LOOP HVAC 1:DesPer 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:DesPer 1:Des Sens Cool Cap [W],AIR LOOP HVAC 1:DesPer 1:Des Tot Cool Cap [W],AIR LOOP HVAC 1:DesPer 2:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:DesPer 2:Des Heat Cap [W],AIR LOOP HVAC 1:DesPer 2:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:DesPer 2:Des Sens Cool Cap [W],AIR LOOP HVAC 1:DesPer 2:Des Tot Cool Cap [W]
00:05:00,1.272980E+00,4.771285E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.318381E-02,1.533109E+02,5.240060E+02
00:10:00,1.272961E+00,4.771215E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.630568E-02,6.517364E+02,2.234783E+03
00:15:00,1.272943E+00,4.771145E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.721746E-02,1.120062E+03,3.853139E+03
00:20:00,1.272924E+00,4.771075E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.314729E-01,1.507658E+03,5.203469E+03
00:25:00,1.272906E+00,4.771006E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.683838E-01,1.921879E+03,6.654912E+03
00:30:00,1.272887E+00,4.770937E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.050860E-01,2.329762E+03,8.093990E+03
00:35:00,1.272869E+00,4.770868E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.415764E-01,2.731303E+03,9.520615E+03
00:40:00,1.272850E+00,4.770799E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.778337E-01,3.126297E+03,1.093397E+04
00:45:00,1.272832E+00,4.770731E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.138497E-01,3.514691E+03,1.233379E+04
00:50:00,1.272814E+00,4.770663E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.496165E-01,3.896436E+03,1.371981E+04
