Time,THERMAL ZONE 1:SIZING PERIOD DESIGN DAY 1:Des Heat Load [W],THERMAL ZONE 1:SIZING PERIOD DESIGN DAY 2:Des Sens Cool Load [W],THERMAL ZONE 1:SIZING PERIOD DESIGN DAY 1:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:SIZING PERIOD DESIGN DAY 2:Des Cool Mass Flow [kg/s]
00:05:00,1.973070E+04,1.458993E+02,1.018384E+00,1.146418E-02
00:10:00,1.973041E+04,6.317581E+02,1.018369E+00,4.896146E-02
00:15:00,1.973012E+04,1.092836E+03,1.018354E+00,8.453692E-02
00:20:00,1.972983E+04,1.478907E+03,1.018339E+00,1.143243E-01
00:25:00,1.972955E+04,1.894914E+03,1.018324E+00,1.464207E-01
00:30:00,1.972926E+04,2.308572E+03,1.018310E+00,1.783356E-01
00:35:00,1.972898E+04,2.719846E+03,1.018295E+00,2.100665E-01
00:40:00,1.972869E+04,3.128494E+03,1.018280E+00,2.415945E-01
00:45:00,1.972841E+04,3.534425E+03,1.018266E+00,2.729127E-01
00:50:00,1.972813E+04,3.937550E+03,1.018251E+00,3.040143E-01
00:55:00,1.972785E+04,4.337823E+03,1.018237E+00,3.348957E-01
01:00:00,1.972757E+04,4.735188E+03,1.018222E+00,3.655526E-01
01:05:00,1.972758E+04,4.983739E+03,1.018223E+00,3.845204E-01
01:10:00,1.972760E+04,4.889383E+03,1.018224E+00,3.772276E-01
01:15:00,1.972762E+04,4.816853E+03,1.018225E+00,3.716285E-01
01:20:00,1.972764E+04,4.816358E+03,1.018226E+00,3.715881E-01
01:25:00,1.972766E+04,4.782952E+03,1.018227E+00,3.690092E-01
01:30:00,1.972768E+04,4.748912E+03,1.018228E+00,3.663814E-01
01:35:00,1.972769E+04,4.714281E+03,1.018229E+00,3.637082E-01
01:40:00,1.972771E+04,4.679297E+03,1.018230E+00,3.610079E-01
01:45:00,1.972773E+04,4.644062E+03,1.018231E+00,3.582885E-01
01:50:00,1.972775E+04,4.608672E+03,1.018232E+00,3.555572E-01
01:55:00,1.972777E+04,4.573188E+03,1.018232E+00,3.528188E-01
02:00:00,1.972778E+04,4.537677E+03,1.018233E+00,3.500783E-01
02:05:00,1.972780E+04,4.502172E+03,1.018234E+00,3.473385E-01
02:10:00,1.972782E+04,4.466718E+03,1.018235E+00,3.446026E-01
02:15:00,1.972784E+04,4.431349E+03,1.018236E+00,3.418734E-01
02:20:00,1.972786E+04,4.396095E+03,1.018237E+00,3.391532E-01
02:25:00,1.972787E+04,4.360990E+03,1.018238E+00,3.364444E-01
02:30:00,1.972789E+04,4.326057E+03,1.018239E+00,3.337490E-01
02:35:00,1.972791E+04,4.291321E+03,1.018240E+00,3.310689E-01
02:40:00,1.972793E+04,4.256808E+03,1.018241E+00,3.284060E-01
02:45:00,1.972794E+04,4.222527E+03,1.018242E+00,3.257610E-01
02:50:00,1.972796E+04,4.188509E+03,1.018242E+00,3.231363E-01
02:55:00,1.972798E+04,4.154762E+03,1.018243E+00,3.205326E-01
03:00:00,1.972799E+04,4.121305E+03,1.018244E+00,3.179512E-01
03:05:00,1.972801E+04,4.088193E+03,1.018245E+00,3.153965E-01
03:10:00,1.972803E+04,4.055368E+03,1.018246E+00,3.128640E-01
03:15:00,1.972805E+04,4.022892E+03,1.018247E+00,3.103584E-01
03:20:00,1.972806E+04,3.990775E+03,1.018248E+00,3.078805E-01
03:25:00,1.972808E+04,3.958995E+03,1.018249E+00,3.054286E-01
